symbol,signal_date,outcome,model_prob,predicted_win,actual_win,mfe5,mae5,days_to_1atr
A,2020-12-15,WIN,0.7021291474490289,True,True,0.9187679909715937,-0.5539349633716477,13.0
A,2021-02-23,DEEP_DRAWDOWN,0.0004011121067895223,False,False,1.1359737182341847,-0.551379056218935,1.0
A,2021-05-11,DEEP_DRAWDOWN,0.12410857449484161,False,False,0.1383764142101747,-1.3191884821370798,-1.0
A,2021-06-04,WIN,0.791513164446277,True,True,2.3692501058597024,-0.21728572399417967,3.0
A,2022-01-04,DEEP_DRAWDOWN,0.13842628763697792,False,False,0.4993485032680766,-2.907474242972146,-2.0
A,2022-02-14,DEEP_DRAWDOWN,0.004695139314819738,False,False,0.7452506001140375,-1.5650262602394713,-3.0
A,2022-02-08,DEEP_DRAWDOWN,0.027611886950974416,False,False,1.2205068968847463,-1.9017200486343848,1.0
A,2022-02-04,DEEP_DRAWDOWN,0.25151242091103093,False,False,1.1113677281821153,-1.2787589168712858,3.0
A,2022-03-07,DEEP_DRAWDOWN,0.4774261306419157,False,False,1.4450929740320908,-0.799413134570941,3.0
A,2022-03-30,DEEP_DRAWDOWN,0.019743874721697842,False,False,0.36364798458683156,-1.4104346830760643,-5.0
A,2022-04-19,DEEP_DRAWDOWN,0.5894236876721962,True,False,1.198568446013129,-2.5242987813323867,1.0
A,2022-06-07,DEEP_DRAWDOWN,0.6688417277025798,True,False,-0.09557597494216885,-3.7758559214496525,-2.0
A,2022-09-23,DEEP_DRAWDOWN,0.30338641706609626,False,False,0.40596610682586315,-0.8500373355920544,6.0
A,2022-08-29,WIN,0.7238577988666249,True,True,0.6525735508434716,-0.5237039840802651,6.0
A,2022-08-09,WIN,0.5041102786652204,True,True,1.901752421827921,0.3963875374056614,1.0
A,2022-08-16,WIN,0.7514111846447904,True,True,5.262576542428515,-0.17461083458748727,1.0
A,2022-10-03,DEEP_DRAWDOWN,0.004087197848441555,False,False,2.1778632704147105,-0.5864611513024701,1.0
A,2023-02-24,DEEP_DRAWDOWN,0.19302274834600605,False,False,0.9419460083670019,-1.5128223770742655,-3.0
A,2023-02-22,DEEP_DRAWDOWN,0.49992577115872616,False,False,0.5115662470070474,-1.7252234136601468,-5.0
A,2022-11-15,DEEP_DRAWDOWN,0.15177449646364127,False,False,2.377866898412236,-1.4890401737640564,-2.0
A,2022-11-28,DEEP_DRAWDOWN,0.38120744578040067,False,False,1.0568909633685055,-0.7651699282305867,3.0
A,2022-11-29,DEEP_DRAWDOWN,0.0010567989429797284,False,False,1.440780794375151,-0.43914209143626176,2.0
A,2023-01-19,DEEP_DRAWDOWN,0.5614662616323054,True,False,1.7672648101470705,-0.10849332784186658,2.0
A,2023-01-31,DEEP_DRAWDOWN,0.02577091386244014,False,False,1.3582370939014659,-0.2350269418018671,1.0
A,2023-03-09,DEEP_DRAWDOWN,0.12895438859600153,False,False,0.21059005971944442,-2.0104533039403245,-1.0
A,2023-03-07,DEEP_DRAWDOWN,0.4863785251294305,False,False,0.47051638744880736,-1.634895548793622,-3.0
A,2023-03-21,DEEP_DRAWDOWN,0.058627219395474946,False,False,0.15362993160637747,-2.4723038993693325,-2.0
A,2023-07-31,WIN,0.5251616770889944,True,True,2.3202790084971086,-0.40367183325398737,2.0
A,2023-11-10,WIN,0.7561148309625925,True,True,1.9788498609444982,-0.4734871779487668,2.0
A,2023-11-08,DEEP_DRAWDOWN,0.6517808795293166,True,False,1.6866219519317174,-1.7331036592684186,-2.0
A,2024-01-04,DEEP_DRAWDOWN,0.7626545744036834,True,False,1.871121130701888,-1.2555141786094883,2.0
A,2023-12-29,DEEP_DRAWDOWN,0.27269891917109723,False,False,0.666207843691983,-4.679591428009363,-2.0
A,2024-02-22,WIN,0.835509527144821,True,True,2.47667964678772,-0.37108778654209756,4.0
A,2024-04-04,WIN,0.6566504281592654,True,True,2.2819316405101255,0.8244868916951092,1.0
A,2024-03-25,DEEP_DRAWDOWN,0.34968040783486787,False,False,0.7395854461813334,-1.0357701390833243,-5.0
A,2024-04-26,WIN,0.4125220349249336,False,True,0.9567444227392756,-0.27892549001490075,6.0
A,2024-04-26,WIN,0.18196179208245067,False,True,0.9567444227392756,-0.27892549001490075,6.0
A,2024-05-29,DEEP_DRAWDOWN,0.5948191013701554,True,False,-3.606155762638966,-6.149767381108664,-1.0
A,2024-05-28,DEEP_DRAWDOWN,0.014029921335495663,False,False,-0.6018672500194984,-7.407738074172845,-1.0
A,2024-05-23,DEEP_DRAWDOWN,0.32589928993469663,False,False,0.17880712029320192,-8.073141481238062,-2.0
A,2024-08-02,DEEP_DRAWDOWN,0.001659851326911349,False,False,-0.002864937689940156,-1.6244196701975422,-1.0
A,2024-08-22,DEEP_DRAWDOWN,0.01594923309320256,False,False,0.95417990605523,-0.18709409922651377,-8.0
A,2024-10-01,DEEP_DRAWDOWN,0.5122018338455787,True,False,0.31881768137953365,-1.1127963301997255,-4.0
A,2024-11-07,DEEP_DRAWDOWN,0.14176600949061047,False,False,-0.3282683864338893,-2.840495855215619,-1.0
A,2025-02-12,DEEP_DRAWDOWN,0.2575432845715183,False,False,0.09750913761745864,-1.193395415616628,-2.0
A,2025-02-10,DEEP_DRAWDOWN,0.17825572506647366,False,False,0.05831992021538301,-2.9159960107692524,-2.0
A,2025-01-24,DEEP_DRAWDOWN,0.5524628458557583,True,False,0.7006923395934469,-1.358132065631757,-3.0
A,2025-01-24,DEEP_DRAWDOWN,0.31449871908593136,False,False,0.7006923395934469,-1.358132065631757,-3.0
A,2025-04-15,DEEP_DRAWDOWN,0.7357558433366526,True,False,1.3170565709941702,-0.8260765449311243,5.0
A,2025-05-15,DEEP_DRAWDOWN,0.7334974505612731,True,False,0.4683425018418802,-1.1768950547717105,-5.0
A,2025-05-16,DEEP_DRAWDOWN,0.7297276458751596,True,False,0.08306298281150613,-1.8110453629394414,-3.0
A,2025-06-23,WIN,0.8773700292472514,True,True,1.580845587508616,0.20714528388043713,2.0
A,2025-06-30,WIN,0.7076353172909347,True,True,1.9805633586779816,-0.46784961228613864,1.0
A,2025-09-03,DEEP_DRAWDOWN,0.5162947623219256,True,False,2.027467761910946,-0.430677220351918,1.0
A,2025-09-25,WIN,0.6080957239473348,True,True,7.250336969832095,0.11763661930501405,3.0
