timestamp_et,open,high,low,close,volume,sma_26,pct_15m,wa,wa_old
2026-06-29 12:00:00 PM ET,273.885,275.595,273.885,274.69,5242,271.86923076923074,0.3598765093805411,-0.9429165100801624,2757.342397854254
2026-06-29 12:15:00 PM ET,274.71,275.71,274.45,275.71,2436,272.0723076923077,0.3713276784738983,-0.79872686454121,2763.511414521027
2026-06-29 12:30:00 PM ET,275.86,276.38,275.685,275.7,4328,272.2567307692307,-0.0036269993834103,-0.6742887770593982,2769.752302730898
2026-06-29 12:45:00 PM ET,275.71,276.36,275.47,275.83,3630,272.4442307692307,0.0471527022125384,-0.5489152558376369,2776.3975068512586
2026-06-29 01:00:00 PM ET,276.21,276.8,276.12,276.67,5812,272.69961538461536,0.3045354022405133,-0.386957867399752,2783.346918887691
2026-06-29 01:15:00 PM ET,276.795,276.805,276.065,276.32,3176,272.9196153846154,-0.1265044999457898,-0.2473233822964619,2789.897228559692
2026-06-29 01:30:00 PM ET,276.2,276.575,276.2,276.465,3101,273.16769230769233,0.052475390851181,-0.1471371141933679,2796.4808554449723
2026-06-29 01:45:00 PM ET,276.07,276.63,276.07,276.45,2159,273.4290384615384,-0.005425641582113,0.0095605514635637,2803.1649179188425
2026-06-29 02:00:00 PM ET,276.44,277.09,276.44,277.0,3966,273.70307692307694,0.1989509857116989,0.2003634306030771,2810.7392077505024
2026-06-29 02:15:00 PM ET,277.25,277.5,276.66,276.94,5402,273.9771153846154,-0.0216606498194993,0.3816796707634036,2819.601481042415
2026-06-29 02:30:00 PM ET,277.16,277.82,276.93,277.515,5908,274.27230769230766,0.2076262006210694,0.5690358864373041,2829.3556985617743
2026-06-29 02:45:00 PM ET,277.535,277.585,277.23,277.46,5029,274.56903846153847,-0.0198187485361156,0.7572227307008524,2838.6084659153275
2026-06-29 03:00:00 PM ET,277.465,277.9,277.345,277.83,4430,274.85788461538465,0.1333525553232961,0.9545440377294696,2847.751499471926
2026-06-29 03:15:00 PM ET,277.46,278.11,277.36,277.85,4967,275.1634615384615,0.0071986466544382,1.162488311969443,2856.5034214826087
2026-06-29 03:30:00 PM ET,277.61,277.875,277.165,277.165,5218,275.4236538461538,-0.2465359006658229,1.3397939216517731,2864.8340921551066
