timestamp,open,high,low,close,volume,sma_26,pct_15m,wa
2026-05-20 13:30:00,220.49,220.67,216.89,219.285,5505,,,
2026-05-20 13:45:00,219.72,220.53,219.69,220.08,3421,,0.3625418975306216,
2026-05-20 14:00:00,220.04,220.78,219.895,220.78,3026,,0.31806615776079905,
2026-05-20 14:15:00,220.9,221.5,220.36,220.52,4497,,-0.11776429024368262,
2026-05-20 14:30:00,220.79,220.99,220.48,220.99,3853,,0.21313259568294107,
2026-05-20 14:45:00,220.98,221.34,220.96,220.96,9534,,-0.013575274899313428,
2026-05-20 15:00:00,221.13,221.52,220.82,221.4,1859,,0.19913106444604534,
2026-05-20 15:15:00,221.6,222.3,221.6,221.665,4197,,0.11969286359529985,
2026-05-20 15:30:00,221.79,222.41,221.79,222.41,3927,,0.3360927525770885,
2026-05-20 15:45:00,222.45,222.515,221.84,221.99,2720,,-0.1888404298367785,
2026-05-20 16:00:00,222.06,222.475,222.06,222.475,1894,,0.21847830983376948,
2026-05-20 16:15:00,222.78,222.78,222.18,222.18,828,,-0.13259916844589048,
2026-05-20 16:30:00,222.19,222.41,222.19,222.41,1838,,0.10351966873705098,
2026-05-20 16:45:00,222.63,222.63,222.24,222.24,814,,-0.07643541207679183,
2026-05-20 17:00:00,222.47,222.5,222.12,222.305,1673,,0.029247660187192714,
2026-05-20 17:15:00,222.83,222.83,222.61,222.615,1459,,0.1394480555992894,
2026-05-20 17:30:00,222.945,223.455,222.84,223.455,2293,,0.377333063809715,
2026-05-20 17:45:00,223.39,223.48,223.13,223.13,3843,,-0.1454431541026202,
2026-05-20 18:00:00,223.23,223.34,222.98,223.05,2103,,-0.03585353829604898,
2026-05-20 18:15:00,223.385,223.565,223.31,223.52,1081,,0.21071508630352564,
2026-05-20 18:30:00,223.57,223.84,223.57,223.785,1088,,0.11855762347887655,
2026-05-20 18:45:00,223.96,223.96,223.545,223.545,3541,,-0.107245793954025,
2026-05-20 19:00:00,223.58,224.05,223.445,223.97,2267,,0.19011832069606438,
2026-05-20 19:15:00,223.99,224.22,223.92,224.12,3873,,0.06697325534670284,
2026-05-20 19:30:00,224.5,224.74,224.285,224.57,6416,,0.20078529359270902,
2026-05-20 19:45:00,224.45,224.99,223.86,224.84,37883,222.39576923076922,0.120229772454028,
2026-05-21 13:30:00,232.325,235.28,231.06,233.06,102958,222.92557692307693,3.6559331079879076,
2026-05-21 13:45:00,232.94,238.545,232.775,237.72,79340,223.60403846153847,1.9994851111301726,
2026-05-21 14:00:00,237.73,239.39,236.765,239.37,42826,224.31903846153847,0.694093891973746,
2026-05-21 14:15:00,239.235,241.41,238.94,240.68,57050,225.09442307692308,0.5472699168651118,
2026-05-21 14:30:00,240.93,243.1,240.16,242.69,88110,225.92903846153848,0.8351337876017828,
2026-05-21 14:45:00,242.67,242.82,241.42,242.69,25373,226.7648076923077,0.0,
2026-05-21 15:00:00,242.37,242.51,240.58,241.33,36951,227.53134615384613,-0.5603856772013582,
2026-05-21 15:15:00,241.155,243.865,241.1,241.705,33605,228.30211538461538,0.15538888658683803,
2026-05-21 15:30:00,241.45,243.32,241.2,243.32,17898,229.10634615384618,0.6681698765023336,
2026-05-21 15:45:00,242.98,244.08,242.88,243.94,16792,229.95057692307694,0.25480848265657663,
2026-05-21 16:00:00,243.92,244.35,243.085,243.62,32529,230.76384615384615,-0.13117979831105409,
2026-05-21 16:15:00,243.405,243.405,240.3,240.3,14414,231.46076923076924,-1.3627780970363657,
2026-05-21 16:30:00,240.515,241.32,240.1,241.32,8844,232.1880769230769,0.42446941323344145,
2026-05-21 16:45:00,241.33,242.79,241.33,242.39,8524,232.96307692307693,0.44339466268854544,
2026-05-21 17:00:00,242.415,243.86,242.415,243.84,18424,233.79134615384618,0.598209497091462,
2026-05-21 17:15:00,243.785,245.525,243.755,245.13,30191,234.6573076923077,0.5290354330708569,
2026-05-21 17:30:00,245.165,245.29,244.27,245.22,11825,235.49442307692306,0.03671521233630237,
2026-05-21 17:45:00,245.32,247.33,245.06,247.19,33417,236.4198076923077,0.8033602479406321,
2026-05-21 18:00:00,247.25,249.425,247.07,249.31,27328,237.42980769230766,0.8576398721631184,
2026-05-21 18:15:00,249.33,251.54,248.64,251.54,34628,238.5075,0.8944687337050228,
2026-05-21 18:30:00,251.72,252.2,248.95,250.71,38351,239.5430769230769,-0.3299674008109932,
2026-05-21 18:45:00,250.7,251.94,249.35,250.36,26231,240.5744230769231,-0.1396035259861983,
2026-05-21 19:00:00,250.36,251.53,249.98,250.73,26934,241.60365384615383,0.1477871864514979,
2026-05-21 19:15:00,250.75,251.83,249.83,250.255,22122,242.60884615384614,-0.18944681529932117,
2026-05-21 19:30:00,250.16,252.26,249.425,252.02,46330,243.66461538461542,0.7052806137739509,
2026-05-21 19:45:00,251.87,253.56,251.84,253.1,263707,244.75153846153847,0.42853741766526454,
2026-05-22 12:00:00,259.49,259.55,259.49,259.55,240,245.77038461538461,2.5483998419597143,
2026-05-22 12:30:00,258.27,258.3,258.27,258.3,477,246.5619230769231,-0.48160277403197504,
2026-05-22 12:45:00,259.61,259.61,259.16,259.16,224,247.3230769230769,0.3329461866047323,
2026-05-22 13:00:00,262.25,262.25,262.25,262.25,140,248.15269230769232,1.1923136286463798,
2026-05-22 13:15:00,264.17,264.17,264.07,264.07,335,248.97499999999997,0.6939942802669075,
2026-05-22 13:30:00,261.905,264.23,258.32,261.145,120365,249.68480769230771,-1.1076608475025562,
2026-05-22 13:45:00,261.66,263.78,258.89,260.42,59447,250.4190384615385,-0.27762354247639065,
2026-05-22 14:00:00,260.16,260.6,255.67,257.5,32305,251.02653846153848,-1.1212656477997185,
2026-05-22 14:15:00,257.76,259.34,257.535,258.46,27558,251.60884615384614,0.3728155339805639,
2026-05-22 14:30:00,258.43,260.38,257.59,257.59,22921,252.13384615384615,-0.33660914648301343,
