symbol,bar_index,date,from_state,to_state,score
WMT,65,2025-08-21,WAITING_FOR_RETURN,STRUCTURALLY_INVALIDATED,
WMT,66,2025-08-22,STRUCTURALLY_INVALIDATED,NO_BREAKOUT,
WMT,102,2025-10-14,NO_BREAKOUT,BREAKOUT_CONFIRMED,
WMT,103,2025-10-15,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
WMT,110,2025-10-24,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
WMT,111,2025-10-27,WAITING_FOR_RETURN,ACTIVE_RETEST,
WMT,112,2025-10-28,ACTIVE_RETEST,STRUCTURALLY_INVALIDATED,
WMT,113,2025-10-29,STRUCTURALLY_INVALIDATED,NO_BREAKOUT,
WMT,129,2025-11-20,NO_BREAKOUT,BREAKOUT_CONFIRMED,
WMT,130,2025-11-21,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
WMT,131,2025-11-24,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
WMT,132,2025-11-25,FAILED_BREAKOUT,BREAKOUT_CONFIRMED,
WMT,133,2025-11-26,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
WMT,140,2025-12-08,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
WMT,253,2026-05-21,WAITING_FOR_RETURN,EXPIRED,
WMT,254,2026-05-22,EXPIRED,NO_BREAKOUT,
WMT,281,2026-07-02,NO_BREAKOUT,BREAKOUT_CONFIRMED,
WMT,282,2026-07-06,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
WMT,289,2026-07-15,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
WMT,293,2026-07-21,WAITING_FOR_RETURN,ACTIVE_RETEST,
WMT,294,2026-07-22,ACTIVE_RETEST,POST_ENTRY_ACTIVE,
WMT,295,2026-07-23,POST_ENTRY_ACTIVE,STOPPED_OUT,
WMT,296,2026-07-24,STOPPED_OUT,NO_BREAKOUT,
WMT,297,2026-07-27,NO_BREAKOUT,BREAKOUT_CONFIRMED,
WMT,298,2026-07-28,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
MSFT,121,2025-11-10,NO_BREAKOUT,BREAKOUT_CONFIRMED,
MSFT,122,2025-11-11,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
MSFT,127,2025-11-18,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
MSFT,128,2025-11-19,FAILED_BREAKOUT,NO_BREAKOUT,
MSFT,257,2026-05-28,NO_BREAKOUT,BREAKOUT_CONFIRMED,
MSFT,258,2026-05-29,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
MSFT,264,2026-06-08,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
MSFT,265,2026-06-09,FAILED_BREAKOUT,NO_BREAKOUT,
GOOGL,110,2025-10-24,NO_BREAKOUT,BREAKOUT_CONFIRMED,
GOOGL,111,2025-10-27,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GOOGL,118,2025-11-05,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
GOOGL,231,2026-04-21,WAITING_FOR_RETURN,EXPIRED,
GOOGL,232,2026-04-22,EXPIRED,WAITING_FOR_RETURN,
TSLA,79,2025-09-11,NO_BREAKOUT,BREAKOUT_CONFIRMED,
TSLA,80,2025-09-12,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
TSLA,87,2025-09-23,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
TSLA,200,2026-03-06,WAITING_FOR_RETURN,EXPIRED,
TSLA,201,2026-03-09,EXPIRED,NO_BREAKOUT,
TSLA,217,2026-03-31,NO_BREAKOUT,BREAKOUT_CONFIRMED,
TSLA,218,2026-04-01,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
TSLA,220,2026-04-06,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
TSLA,221,2026-04-07,FAILED_BREAKOUT,NO_BREAKOUT,
TSLA,226,2026-04-14,NO_BREAKOUT,BREAKOUT_CONFIRMED,
TSLA,227,2026-04-15,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
TSLA,234,2026-04-24,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
TSLA,295,2026-07-23,WAITING_FOR_RETURN,STRUCTURALLY_INVALIDATED,
TSLA,296,2026-07-24,STRUCTURALLY_INVALIDATED,NO_BREAKOUT,
META,42,2025-07-21,NO_BREAKOUT,BREAKOUT_CONFIRMED,
META,43,2025-07-22,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
META,48,2025-07-29,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
META,49,2025-07-30,FAILED_BREAKOUT,NO_BREAKOUT,
META,66,2025-08-22,NO_BREAKOUT,BREAKOUT_CONFIRMED,
META,67,2025-08-25,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
META,69,2025-08-27,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
META,70,2025-08-28,FAILED_BREAKOUT,NO_BREAKOUT,
META,101,2025-10-13,NO_BREAKOUT,BREAKOUT_CONFIRMED,
META,102,2025-10-14,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
META,104,2025-10-16,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
META,105,2025-10-17,FAILED_BREAKOUT,NO_BREAKOUT,
META,289,2026-07-15,NO_BREAKOUT,BREAKOUT_CONFIRMED,
META,290,2026-07-16,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
META,291,2026-07-17,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
META,292,2026-07-20,FAILED_BREAKOUT,NO_BREAKOUT,
