date,next_date,symbol,entry_price,exit_price,shares,pnl,sort_val
2024-07-29,2024-07-30,GODIGIT.NS,352.05,359.95,56,442.4,100.0
2024-07-29,2024-07-30,MEDANTA.NS,1228.6,1246.2,16,281.6,68.75
2024-07-29,2024-07-30,BANDHANBNK.NS,218.87,219.77,91,81.9,63.0952
2024-07-29,2024-07-30,RELIANCE.NS,1520.1,1513.15,13,-90.35,62.5
2024-07-29,2024-07-30,CRAFTSMAN.NS,5352.25,5499.65,3,442.2,61.9048
2024-07-30,2024-07-31,ADANIENSOL.NS,1124.9,1138.05,17,223.55,61.3208
2024-07-30,2024-07-31,COHANCE.NS,943.95,997.2,21,1118.25,56.25
2024-07-30,2024-07-31,CRISIL.NS,4384.75,4382.6,4,-8.6,54.3478
2024-07-30,2024-07-31,YESBANK.NS,25.71,26.51,786,628.8,53.2609
2024-07-30,2024-07-31,CEATLTD.NS,2723.25,2688.85,7,-240.8,52.6316
2024-07-31,2024-08-01,PERSISTENT.NS,4832.3,4796.45,4,-143.4,56.8182
2024-07-31,2024-08-01,GODREJPROP.NS,3219.55,3127.2,6,-554.1,54.5455
2024-07-31,2024-08-01,GRAPHITE.NS,532.2,529.1,38,-117.8,54.3689
2024-07-31,2024-08-01,KEC.NS,925.35,906.85,22,-407.0,54.2056
2024-07-31,2024-08-01,BLUEDART.NS,8175.55,8219.15,2,87.2,53.5714
2024-08-01,2024-08-02,ATGL.NS,915.55,908.9,22,-146.3,57.3529
2024-08-01,2024-08-02,GILLETTE.NS,7941.95,7981.9,2,79.9,53.75
2024-08-01,2024-08-02,THERMAX.NS,5180.2,4984.3,3,-587.7,45.6522
2024-08-01,2024-08-02,TATACONSUM.NS,1208.35,1193.65,16,-235.2,45.283
2024-08-01,2024-08-02,CGCL.NS,225.55,214.03,90,-1036.8,45.1613
2024-08-02,2024-08-05,NAUKRI.NS,1444.1,1394.75,13,-641.55,56.7568
2024-08-05,2024-08-06,DEVYANI.NS,181.27,179.95,109,-143.88,58.3333
2024-08-06,2024-08-07,EMCURE.NS,1294.8,1305.05,15,153.75,100.0
2024-08-06,2024-08-07,GRAVITA.NS,1711.4,1765.85,11,598.95,59.7938
2024-08-06,2024-08-07,MANKIND.NS,2031.2,2058.1,9,242.1,57.1429
2024-08-06,2024-08-07,GPIL.NS,223.6,229.04,88,478.72,55.8559
2024-08-06,2024-08-07,BLS.NS,385.1,384.35,51,-38.25,55.6604
2024-08-07,2024-08-08,TEJASNET.NS,1290.45,1234.85,15,-834.0,64.4444
2024-08-07,2024-08-08,SHYAMMETL.NS,737.0,720.2,27,-453.6,63.1579
2024-08-07,2024-08-08,DOMS.NS,2395.75,2388.35,8,-59.2,62.5
2024-08-07,2024-08-08,PIIND.NS,4422.2,4457.25,4,140.2,62.1053
2024-08-07,2024-08-08,AIIL.NS,215.75,246.62,93,2870.91,60.0
2024-08-08,2024-08-09,FLUOROCHEM.NS,3391.1,3417.8,6,160.2,61.1111
2024-08-08,2024-08-09,POONAWALLA.NS,368.8,365.8,55,-165.0,59.4059
2024-08-08,2024-08-09,CEMPRO.NS,534.65,558.1,38,891.1,58.6957
2024-08-08,2024-08-09,SUZLON.NS,72.92,76.54,280,1013.6,57.8431
2024-08-08,2024-08-09,NAM-INDIA.NS,643.05,659.75,31,517.7,57.6923
2024-08-09,2024-08-12,LODHA.NS,1244.35,1298.0,16,858.4,74.4681
2024-08-09,2024-08-12,HDFCBANK.NS,825.1,830.05,25,123.75,65.2542
2024-08-09,2024-08-12,AFFLE.NS,1595.2,1561.5,13,-438.1,63.7681
2024-08-09,2024-08-12,DIXON.NS,11740.45,11664.25,1,-76.2,59.7701
2024-08-09,2024-08-12,OFSS.NS,10564.1,10734.55,1,170.45,59.2233
2024-08-12,2024-08-13,CHOICEIN.NS,400.05,394.2,52,-304.2,70.3704
2024-08-12,2024-08-13,GODIGIT.NS,352.75,348.15,59,-271.4,66.6667
2024-08-12,2024-08-13,MAPMYINDIA.NS,2317.9,2195.9,9,-1098.0,60.0
2024-08-12,2024-08-13,ATGL.NS,834.25,851.35,25,427.5,57.971
2024-08-12,2024-08-13,HDFCAMC.NS,2104.05,2071.02,9,-297.23,55.9524
2024-08-13,2024-08-14,KAYNES.NS,4702.0,4868.8,4,667.2,70.8333
2024-08-13,2024-08-14,JSL.NS,694.25,695.9,29,47.85,58.0952
2024-08-13,2024-08-14,SIEMENS.NS,4090.86,4132.51,5,208.24,54.6296
2024-08-13,2024-08-14,SPLPETRO.NS,849.8,829.05,24,-498.0,52.1739
2024-08-13,2024-08-14,OLECTRA.NS,1653.4,1642.7,12,-128.4,51.9231
2024-08-14,2024-08-16,CYIENT.NS,1734.9,1785.25,11,553.85,62.5
2024-08-14,2024-08-16,ANURAS.NS,787.3,804.55,26,448.5,61.7647
2024-08-14,2024-08-16,KALYANKJIL.NS,568.6,572.95,36,156.6,61.3636
2024-08-14,2024-08-16,UTIAMC.NS,1040.6,1040.85,19,4.75,58.1395
2024-08-14,2024-08-16,TCS.NS,4295.25,4416.05,4,483.2,57.7982
2024-08-16,2024-08-19,MEDANTA.NS,1125.75,1106.25,18,-351.0,64.7059
2024-08-16,2024-08-19,KPITTECH.NS,1815.4,1834.45,11,209.55,64.2857
2024-08-16,2024-08-19,IEX.NS,194.82,196.32,108,162.0,64.1026
2024-08-16,2024-08-19,FSL.NS,307.7,337.35,68,2016.2,62.6168
2024-08-16,2024-08-19,SUPREMEIND.NS,5259.85,5267.6,4,31.0,60.6383
2024-08-19,2024-08-20,INDGN.NS,564.05,584.1,38,761.9,100.0
2024-08-19,2024-08-20,EMCURE.NS,1325.0,1332.1,16,113.6,100.0
2024-08-19,2024-08-20,ANGELONE.NS,234.12,269.69,91,3236.87,65.4545
2024-08-19,2024-08-20,AFFLE.NS,1575.6,1605.35,13,386.75,64.2857
2024-08-19,2024-08-20,RELIANCE.NS,1488.4,1495.95,14,105.7,62.8099
