run_id,market,symbol,database_score,engine_latest_score,latest_non_null_score,latest_non_null_index,latest_non_null_date,latest_bar_date,database_model_version,current_model_version,database_engine_version,current_engine_version,database_feature_version,current_feature_version,database_semantics_version,current_semantics_version,classification,computation_status,error_type,error_message,reconciled_at
10,US,PJT,0.0,80.84,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:55.808223
10,US,PSMT,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:45:15.067554
10,US,PSTV,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:53.005692
10,US,QFF,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,DATA_INSUFFICIENT,DATA_INSUFFICIENT,,"Only 8 bars, need 30",2026-08-03T03:44:58.751723
10,US,QQQJ,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:40.632118
10,US,QQXT,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:45:09.325929
10,US,RYN,9.66,,9.66,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:45:02.689331
10,US,SCYX,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:45:07.802582
10,US,SFTY,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:11.353049
10,US,SMB,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:43:55.469154
10,US,STEN,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:43.304262
10,US,STKE,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:11.433577
10,US,SYBX,0.0,,0.0,,,2026-07-02,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:05.808667
10,US,TDIV,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:43:53.309107
10,US,TNK,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:37.927336
10,US,TRUH,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:37.934203
10,US,TXN,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:49.281931
10,US,UFOD,0.0,,0.0,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:43:58.461226
10,US,WOR,2.57,12.11,2.57,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:43.253080
10,US,XME,6.48,,6.48,,,2026-07-29,,v1_20260801,,causal-v1,,f29-v1,,new-entry-current-v1,LEGACY_UNVERSIONED,COMPUTED,,,2026-08-03T03:44:25.144213
